% Idtrabajador,nombre,cargo,hotel
trabajador(1,'Jose Hernandez','Chef',1).
trabajador(2,'Maria Loarca','Mesera',1).
trabajador(3,'Julio Ortega','Administrador',1).
trabajador(4,'Jorge Po','Recepcionista',1).
trabajador(5,'Paul Coc','Oficinista',1).
trabajador(6,'Enrique','Oficinista',1).
trabajador(7,'Lorena','Oficinista',1).
trabajador(8,'Mario','Oficinista',1).
trabajador(9,'Pablo','Limpieza',1).
trabajador(10,'Yoli','Cocinera',1).
trabajador(11,'Marionelo','Administrador',2).
trabajador(12,'House','Cocinera',2).
trabajador(13,'paco','recepcionista',2).
trabajador(14,'Francisco','Mesero',2).
trabajador(15,'Gustavo','Oficinista',2).
trabajador(16,'Paul','Oficinista',2).
trabajador(17,'Jorge','Oficinista',2).
trabajador(18,'Tatiana','Oficinista',2).
trabajador(19,'Raul','Oficinista',2).
trabajador(20,'Laura','Ofinista',2).
trabajador(21,'Carlos','Administrador',3).
trabajador(22,'Luis','Limpieza',3).
trabajador(23,'Mario','Oficinista',3).
trabajador(24,'Alejandro','Oficinista',3).
trabajador(25,'Edwin','Oficinista',3).
trabajador(26,'Esvin','Ofinista',3).
trabajador(27,'Quelvin','Encargado',3).
trabajador(28,'Mariela','Oficinista',3).
trabajador(29,'Mariana','Oficinista',3).
trabajador(30,'Holer','Oficinista',3).
trabajador(31,'Jose','Administrador',4).
trabajador(32,'Poncio','Oficinista',4).
trabajador(33,'Gerber','Oficinista',4).
trabajador(34,'Rolando','Oficinista',4).
trabajador(35,'Keila','Oficinista',4).
trabajador(36,'Keithlyn','Oficinista',4).
trabajador(37,'William','Oficinista',4).
trabajador(38,'Iliana','Oficinista',4).
trabajador(39,'Manuel','Oficinista',4).
trabajador(40,'Byron','Oficinista',4).
trabajador(41,'Victor','Administrador',5).
trabajador(42,'Carolina','Oficinista',5).
trabajador(43,'Karen','Oficinista',5).
trabajador(44,'Xara','Oficinista',5).
trabajador(45,'Zoila','Oficinista',5).
trabajador(46,'Francisco','Oficinista',5).
trabajador(47,'Romario','Oficinista',5).
trabajador(48,'Olga','Oficinista',5).
trabajador(49,'Saulo','Oficinista',5).
trabajador(50,'Norlin','Oficinista',5).
trabajador(51,'Yulisa','Propietaria',6).
trabajador(52,'Luis','Auxiliar',6).
trabajador(53,'Pedro','Limpieza',6).
trabajador(54,'Hitler','Auxiliar',6).
trabajador(55,'Mario','Auxiliar',6).
trabajador(56,'Victoria','Oficinista',6).
trabajador(57,'Ugolino','Encargado',6).
trabajador(58,'Julio','Auxiliar',6).
trabajador(59,'Tavo','Auxiliar',6).
trabajador(60,'Britani','Auxiliar',6).
trabajador(61,'Carlos','Administrador',7).
trabajador(62,'Olga','Auxiliar',7).
trabajador(63,'Sapon','Auxiliar',7).
trabajador(64,'Erlin','Auxiliar',7).
trabajador(65,'Woly','Auxiliar',7).
